Ep ep_000683.24 | Time 0:04.21 | Steps   248 | Reward    9618.0 | Avg(10)    8260.2 | Dist     10m (  0.3%) | Buf   0.8% | Total    3973 | End: off_track
Ep ep_000684.24 | Time 0:03.99 | Steps   238 | Reward    8995.5 | Avg(10)    8722.7 | Dist     10m (  0.3%) | Buf   0.8% | Total    4211 | End: off_track
Ep ep_000685.24 | Time 0:03.04 | Steps   195 | Reward    6266.7 | Avg(10)    8543.7 | Dist     10m (  0.3%) | Buf   0.9% | Total    4406 | End: off_track
Ep ep_000686.24 | Time 0:05.24 | Steps   295 | Reward   12438.3 | Avg(10)    8946.3 | Dist     10m (  0.3%) | Buf   0.9% | Total    4701 | End: off_track
Ep ep_000687.24 | Time 0:02.82 | Steps   185 | Reward    5920.8 | Avg(10)    8482.2 | Dist     10m (  0.3%) | Buf   1.0% | Total    4886 | End: damage
Ep ep_000688.24 | Time 0:17.49 | Steps   888 | Reward   47956.2 | Avg(10)   12582.0 | Dist     10m (  0.3%) | Buf   1.2% | Total    5774 | End: off_track
Ep ep_000689.24 | Time 0:50.57 | Steps  2476 | Reward  141872.1 | Avg(10)   25961.5 | Dist    480m ( 15.0%) | Buf   1.6% | Total    8250 | End: too_slow
Ep ep_000690.24 | Time 0:34.01 | Steps  1648 | Reward   94145.2 | Avg(10)   34598.0 | Dist    354m ( 11.1%) | Buf   2.0% | Total    9898 | End: off_track
Ep ep_000691.24 | Time 1:25.30 | Steps  4116 | Reward  241710.3 | Avg(10)   57758.5 | Dist   1587m ( 49.6%) | Buf   2.8% | Total   14014 | End: off_track
Ep ep_000692.24 | Time 0:08.91 | Steps   466 | Reward   23011.5 | Avg(10)   59193.4 | Dist     10m (  0.3%) | Buf   2.9% | Total   14480 | End: off_track
Ep ep_000693.24 | Time 0:16.34 | Steps   836 | Reward   44973.5 | Avg(10)   62729.0 | Dist     10m (  0.3%) | Buf   3.1% | Total   15316 | End: off_track
Ep ep_000694.24 | Time 0:40.87 | Steps  1991 | Reward  114577.6 | Avg(10)   73287.2 | Dist    340m ( 10.6%) | Buf   3.5% | Total   17307 | End: off_track
