Ep ep_000104.3 | Time 0:02.25 | Steps   159 | Reward    2915.8 | Avg(10)   34183.3 | Dist     10m (  0.3%) | Buf   4.5% | Total  171127 | End: damage
Ep ep_000105.3 | Time 0:02.20 | Steps   157 | Reward    2724.7 | Avg(10)   33987.8 | Dist     10m (  0.3%) | Buf   4.6% | Total  171284 | End: damage
Ep ep_000106.3 | Time 0:02.38 | Steps   165 | Reward    2760.8 | Avg(10)   34016.7 | Dist     10m (  0.3%) | Buf   4.6% | Total  171449 | End: damage
Ep ep_000107.3 | Time 0:02.18 | Steps   156 | Reward    2957.3 | Avg(10)   16200.8 | Dist     10m (  0.3%) | Buf   4.6% | Total  171605 | End: damage
Ep ep_000108.3 | Time 0:02.18 | Steps   156 | Reward    2683.0 | Avg(10)    9658.2 | Dist     10m (  0.3%) | Buf   4.6% | Total  171761 | End: damage
Ep ep_000109.3 | Time 0:36.17 | Steps  1756 | Reward   70462.8 | Avg(10)   16386.1 | Dist    314m (  9.8%) | Buf   5.0% | Total  173517 | End: off_track
Ep ep_000110.3 | Time 0:02.20 | Steps   157 | Reward    3014.4 | Avg(10)   16236.6 | Dist     10m (  0.3%) | Buf   5.0% | Total  173674 | End: damage
Ep ep_000111.3 | Time 0:02.73 | Steps   181 | Reward    4436.7 | Avg(10)   16236.4 | Dist     10m (  0.3%) | Buf   5.1% | Total  173855 | End: damage
  [ai-swap] loaded models/episodes/ep_000091.3 | new branch=4 | next=ep_000092.4
Ep ep_000092.4 | Time 0:02.82 | Steps   185 | Reward    4777.4 | Avg(10)    4777.4 | Dist     10m (  0.3%) | Buf   0.0% | Total  174040 | End: damage
Ep ep_000093.4 | Time 0:03.28 | Steps   206 | Reward    5140.1 | Avg(10)    4958.7 | Dist     10m (  0.3%) | Buf   0.1% | Total  174246 | End: damage
Ep ep_000094.4 | Time 0:37.63 | Steps  1829 | Reward   83937.9 | Avg(10)   31285.1 | Dist    379m ( 11.8%) | Buf   0.4% | Total  176075 | End: too_slow
Ep ep_000095.4 | Time 1:27.94 | Steps  4236 | Reward  161874.0 | Avg(10)   63932.3 | Dist    937m ( 29.3%) | Buf   1.3% | Total  180311 | End: off_track
Ep ep_000096.4 | Time 1:50.21 | Steps  5248 | Reward  185862.1 | Avg(10)   88318.3 | Dist   1311m ( 41.0%) | Buf   2.3% | Total  185559 | End: too_slow
Ep ep_000097.4 | Time 0:32.25 | Steps  1560 | Reward   73384.0 | Avg(10)   85829.2 | Dist    265m (  8.3%) | Buf   2.7% | Total  187119 | End: off_track
Ep ep_000098.4 | Time 0:33.65 | Steps  1630 | Reward   76973.1 | Avg(10)   84564.1 | Dist    327m ( 10.2%) | Buf   3.0% | Total  188749 | End: off_track
Ep ep_000099.4 | Time 0:33.45 | Steps  1620 | Reward   76578.6 | Avg(10)   83565.9 | Dist    329m ( 10.3%) | Buf   3.3% | Total  190369 | End: off_track
Ep ep_000100.4 | Time 0:32.65 | Steps  1580 | Reward   74585.0 | Avg(10)   82568.0 | Dist    333m ( 10.4%) | Buf   3.6% | Total  191949 | End: off_track
Ep ep_000101.4 | Time 0:31.83 | Steps  1540 | Reward   72565.4 | Avg(10)   81567.8 | Dist    336m ( 10.5%) | Buf   3.9% | Total  193489 | End: off_track
Ep ep_000102.4 | Time 0:31.59 | Steps  1529 | Reward   72064.8 | Avg(10)   88296.5 | Dist    340m ( 10.6%) | Buf   4.2% | Total  195018 | End: off_track
Ep ep_000103.4 | Time 1:22.80 | Steps  4002 | Reward  195703.1 | Avg(10)  107352.8 | Dist   1722m ( 53.8%) | Buf   5.0% | Total  199020 | End: off_track
Ep ep_000104.4 | Time 1:35.95 | Steps  4600 | Reward  222239.6 | Avg(10)  121183.0 | Dist   2150m ( 67.2%) | Buf   6.0% | Total  203620 | End: off_track
Ep ep_000105.4 | Time 1:11.58 | Steps  3492 | Reward  163896.1 | Avg(10)  121385.2 | Dist   1247m ( 39.0%) | Buf   6.7% | Total  207112 | End: off_track
Ep ep_000106.4 | Time 1:11.29 | Steps  3479 | Reward  163519.9 | Avg(10)  119151.0 | Dist   1243m ( 38.8%) | Buf   7.3% | Total  210591 | End: off_track
Ep ep_000107.4 | Time 1:12.61 | Steps  3539 | Reward  172441.0 | Avg(10)  129056.7 | Dist   1636m ( 51.1%) | Buf   8.1% | Total  214130 | End: off_track
Ep ep_000108.4 | Time 1:16.86 | Steps  3732 | Reward  181558.1 | Avg(10)  139515.2 | Dist   1726m ( 53.9%) | Buf   8.8% | Total  217862 | End: off_track
Ep ep_000109.4 | Time 1:25.30 | Steps  4116 | Reward  201309.5 | Avg(10)  151988.3 | Dist   2066m ( 64.6%) | Buf   9.6% | Total  221978 | End: off_track
Ep ep_000110.4 | Time 0:28.46 | Steps  1387 | Reward   64834.9 | Avg(10)  151013.2 | Dist    386m ( 12.1%) | Buf   9.9% | Total  223365 | End: off_track
Ep ep_000111.4 | Time 1:26.29 | Steps  4161 | Reward  203438.3 | Avg(10)  164100.5 | Dist   2073m ( 64.8%) | Buf  10.7% | Total  227526 | End: off_track
Ep ep_000112.4 | Time 1:25.96 | Steps  4146 | Reward  202379.0 | Avg(10)  177131.9 | Dist   2080m ( 65.0%) | Buf  11.6% | Total  231672 | End: off_track
Ep ep_000113.4 | Time 1:27.39 | Steps  4211 | Reward  205500.2 | Avg(10)  178111.7 | Dist   2080m ( 65.0%) | Buf  12.4% | Total  235883 | End: off_track
Ep ep_000114.4 | Time 1:28.80 | Steps  4275 | Reward  208694.9 | Avg(10)  176757.2 | Dist   2080m ( 65.0%) | Buf  13.3% | Total  240158 | End: off_track
Ep ep_000115.4 | Time 0:35.77 | Steps  1736 | Reward   75850.2 | Avg(10)  167952.6 | Dist    440m ( 13.7%) | Buf  13.6% | Total  241894 | End: off_track
Ep ep_000116.4 | Time 1:28.36 | Steps  4255 | Reward  207684.8 | Avg(10)  172369.1 | Dist   2078m ( 64.9%) | Buf  14.5% | Total  246149 | End: off_track
Ep ep_000117.4 | Time 0:31.61 | Steps  1530 | Reward   72114.9 | Avg(10)  162336.5 | Dist    454m ( 14.2%) | Buf  14.8% | Total  247679 | End: off_track
Ep ep_000118.4 | Time 1:27.24 | Steps  4204 | Reward  205296.0 | Avg(10)  164710.3 | Dist   2069m ( 64.7%) | Buf  15.6% | Total  251883 | End: off_track
