Ep ep_000672.27 | Time 3:26.73 | Steps  9994 | Reward  599803.9 | Avg(10)  425526.3 | Dist   3000m ( 96.8%) | Buf  10.0% | Total  128653 | End: finished
Ep ep_000673.27 | Time 3:09.17 | Steps  9115 | Reward  541623.6 | Avg(10)  440038.4 | Dist   2771m ( 89.4%) | Buf  11.8% | Total  137768 | End: off_track
Ep ep_000674.27 | Time 3:28.49 | Steps 10082 | Reward  605165.9 | Avg(10)  458385.9 | Dist   3000m ( 96.8%) | Buf  13.9% | Total  147850 | End: finished
Ep ep_000675.27 | Time 3:31.10 | Steps 10212 | Reward  612916.4 | Avg(10)  473839.0 | Dist   3000m ( 96.8%) | Buf  15.9% | Total  158062 | End: finished
Ep ep_000676.27 | Time 1:19.52 | Steps  3853 | Reward  226085.3 | Avg(10)  486007.9 | Dist    791m ( 25.5%) | Buf  16.7% | Total  161915 | End: off_track
Ep ep_000677.27 | Time 1:19.06 | Steps  3832 | Reward  224845.8 | Avg(10)  505383.8 | Dist    780m ( 25.1%) | Buf  17.4% | Total  165747 | End: off_track
Ep ep_000678.27 | Time 0:50.19 | Steps  2457 | Reward  142717.1 | Avg(10)  456455.7 | Dist    313m ( 10.1%) | Buf  17.9% | Total  168204 | End: off_track
Ep ep_000679.27 | Time 0:50.61 | Steps  2478 | Reward  143664.4 | Avg(10)  417654.1 | Dist    323m ( 10.4%) | Buf  18.4% | Total  170682 | End: off_track
Ep ep_000680.27 | Time 0:50.65 | Steps  2480 | Reward  143723.4 | Avg(10)  371792.7 | Dist    323m ( 10.4%) | Buf  18.9% | Total  173162 | End: off_track
Ep ep_000681.27 | Time 0:49.45 | Steps  2420 | Reward  140092.2 | Avg(10)  338063.8 | Dist    314m ( 10.1%) | Buf  19.4% | Total  175582 | End: off_track
Ep ep_000682.27 | Time 1:16.75 | Steps  3727 | Reward  218542.6 | Avg(10)  299937.7 | Dist    778m ( 25.1%) | Buf  20.2% | Total  179309 | End: off_track
Ep ep_000683.27 | Time 0:52.49 | Steps  2572 | Reward  148693.9 | Avg(10)  260644.7 | Dist    333m ( 10.7%) | Buf  20.7% | Total  181881 | End: off_track
Ep ep_000684.27 | Time 3:15.41 | Steps  9427 | Reward  559643.2 | Avg(10)  256092.4 | Dist   2787m ( 89.9%) | Buf  22.6% | Total  191308 | End: off_track
Ep ep_000685.27 | Time 3:14.47 | Steps  9380 | Reward  557609.3 | Avg(10)  250561.7 | Dist   2781m ( 89.7%) | Buf  24.4% | Total  200688 | End: off_track
Ep ep_000686.27 | Time 3:29.13 | Steps 10113 | Reward  607003.2 | Avg(10)  288653.5 | Dist   3000m ( 96.8%) | Buf  26.5% | Total  210801 | End: finished
Ep ep_000687.27 | Time 3:13.19 | Steps  9316 | Reward  553299.2 | Avg(10)  321498.9 | Dist   2795m ( 90.2%) | Buf  28.3% | Total  220117 | End: too_slow
Ep ep_000688.27 | Time 3:28.95 | Steps 10104 | Reward  598607.9 | Avg(10)  367087.9 | Dist   2816m ( 90.8%) | Buf  30.3% | Total  230221 | End: off_track
Ep ep_000689.27 | Time 3:42.27 | Steps 10771 | Reward  646492.5 | Avg(10)  417370.7 | Dist   3000m ( 96.8%) | Buf  32.5% | Total  240992 | End: finished
Ep ep_000690.27 | Time 3:42.10 | Steps 10762 | Reward  645921.1 | Avg(10)  467590.5 | Dist   3000m ( 96.8%) | Buf  34.6% | Total  251754 | End: finished
=== Restarting after change (load: models/episodes/ep_000689.27) 2026-05-31 12:13:37 ===
=== Session 2026-05-31 12:14:01 | loaded: models/episodes/ep_000689.27 | next: ep_000690.28 ===
Ep ep_000690.28 | Time 0:03.11 | Steps   198 | Reward    8293.8 | Avg(10)    8293.8 | Dist     10m (  0.3%) | Buf   0.0% | Total     198 | End: off_track
Ep ep_000691.28 | Time 0:03.55 | Steps   218 | Reward    9821.3 | Avg(10)    9057.5 | Dist     10m (  0.3%) | Buf   0.1% | Total     416 | End: off_track
Ep ep_000692.28 | Time 0:03.81 | Steps   230 | Reward   10814.1 | Avg(10)    9643.1 | Dist     10m (  0.3%) | Buf   0.1% | Total     646 | End: off_track
Ep ep_000693.28 | Time 0:04.69 | Steps   270 | Reward   13776.7 | Avg(10)   10676.5 | Dist     10m (  0.3%) | Buf   0.2% | Total     916 | End: off_track
Ep ep_000694.28 | Time 0:02.95 | Steps   191 | Reward    7778.5 | Avg(10)   10096.9 | Dist     10m (  0.3%) | Buf   0.2% | Total    1107 | End: off_track
