Ep ep_000482.19 | Time 0:23.21 | Steps  1148 | Reward   52322.0 | Avg(10)   35173.1 | Dist    118m (  3.7%) | Buf   2.4% | Total   11783 | End: off_track
Ep ep_000483.19 | Time 0:22.35 | Steps  1109 | Reward   50149.7 | Avg(10)   39541.2 | Dist     10m (  0.3%) | Buf   2.6% | Total   12892 | End: off_track
Ep ep_000484.19 | Time 0:21.20 | Steps  1057 | Reward   48361.0 | Avg(10)   43264.2 | Dist     10m (  0.3%) | Buf   2.8% | Total   13949 | End: off_track
Ep ep_000485.19 | Time 0:22.70 | Steps  1125 | Reward   51404.5 | Avg(10)   47616.6 | Dist     10m (  0.3%) | Buf   3.0% | Total   15074 | End: off_track
Ep ep_000486.19 | Time 0:22.33 | Steps  1108 | Reward   50679.9 | Avg(10)   51425.1 | Dist     10m (  0.3%) | Buf   3.2% | Total   16182 | End: off_track
Ep ep_000487.19 | Time 0:12.95 | Steps   668 | Reward   28378.3 | Avg(10)   45066.6 | Dist     10m (  0.3%) | Buf   3.4% | Total   16850 | End: off_track
Ep ep_000488.19 | Time 0:21.73 | Steps  1081 | Reward   49596.8 | Avg(10)   45651.7 | Dist     10m (  0.3%) | Buf   3.6% | Total   17931 | End: off_track
Ep ep_000489.19 | Time 0:22.26 | Steps  1105 | Reward   50347.3 | Avg(10)   46521.6 | Dist     10m (  0.3%) | Buf   3.8% | Total   19036 | End: off_track
Ep ep_000490.19 | Time 0:24.68 | Steps  1215 | Reward   55580.4 | Avg(10)   47736.1 | Dist     79m (  2.5%) | Buf   4.1% | Total   20251 | End: off_track
Ep ep_000491.19 | Time 0:22.39 | Steps  1111 | Reward   50310.0 | Avg(10)   48713.0 | Dist     10m (  0.3%) | Buf   4.3% | Total   21362 | End: off_track
Ep ep_000492.19 | Time 0:23.73 | Steps  1172 | Reward   52764.8 | Avg(10)   48757.3 | Dist     10m (  0.3%) | Buf   4.5% | Total   22534 | End: off_track
Ep ep_000493.19 | Time 0:24.81 | Steps  1221 | Reward   55881.8 | Avg(10)   49330.5 | Dist     69m (  2.2%) | Buf   4.8% | Total   23755 | End: off_track
Ep ep_000494.19 | Time 0:25.12 | Steps  1235 | Reward   56943.8 | Avg(10)   50188.8 | Dist     28m (  0.9%) | Buf   5.0% | Total   24990 | End: off_track
Ep ep_000495.19 | Time 0:24.90 | Steps  1225 | Reward   56441.6 | Avg(10)   50692.5 | Dist     31m (  1.0%) | Buf   5.2% | Total   26215 | End: off_track
Ep ep_000496.19 | Time 1:15.23 | Steps  3658 | Reward  178436.3 | Avg(10)   63468.1 | Dist   1124m ( 35.1%) | Buf   6.0% | Total   29873 | End: off_track
Ep ep_000497.19 | Time 0:23.12 | Steps  1144 | Reward   52734.8 | Avg(10)   65903.8 | Dist     23m (  0.7%) | Buf   6.2% | Total   31017 | End: off_track
Ep ep_000498.19 | Time 0:24.35 | Steps  1200 | Reward   55492.2 | Avg(10)   66493.3 | Dist     40m (  1.3%) | Buf   6.4% | Total   32217 | End: off_track
Ep ep_000499.19 | Time 0:24.37 | Steps  1201 | Reward   55547.6 | Avg(10)   67013.3 | Dist     55m (  1.7%) | Buf   6.7% | Total   33418 | End: off_track
Ep ep_000500.19 | Time 0:23.43 | Steps  1158 | Reward   53311.2 | Avg(10)   66786.4 | Dist     27m (  0.8%) | Buf   6.9% | Total   34576 | End: off_track
