Ep ep_000579.20 | Time 2:46.74 | Steps  7994 | Reward  399086.2 | Avg(10)  237941.3 | Dist   3000m ( 96.8%) | Buf  66.0% | Total  329946 | End: finished
Ep ep_000580.20 | Time 1:14.11 | Steps  3607 | Reward  172326.8 | Avg(10)  250100.3 | Dist   1149m ( 37.1%) | Buf  66.7% | Total  333553 | End: off_track
Ep ep_000581.20 | Time 0:57.39 | Steps  2817 | Reward  135202.7 | Avg(10)  258588.9 | Dist    811m ( 26.2%) | Buf  67.3% | Total  336370 | End: off_track
Ep ep_000582.20 | Time 2:47.94 | Steps  8054 | Reward  401285.4 | Avg(10)  278789.7 | Dist   3000m ( 96.8%) | Buf  68.9% | Total  344424 | End: finished
Ep ep_000583.20 | Time 2:29.75 | Steps  7144 | Reward  348580.1 | Avg(10)  293753.6 | Dist   2773m ( 89.5%) | Buf  70.3% | Total  351568 | End: off_track
Ep ep_000584.20 | Time 2:25.19 | Steps  6916 | Reward  339915.0 | Avg(10)  308292.3 | Dist   2772m ( 89.4%) | Buf  71.7% | Total  358484 | End: off_track
Ep ep_000585.20 | Time 2:24.23 | Steps  6868 | Reward  337051.2 | Avg(10)  322136.8 | Dist   2773m ( 89.5%) | Buf  73.1% | Total  365352 | End: off_track
Ep ep_000586.20 | Time 2:18.89 | Steps  6601 | Reward  324558.7 | Avg(10)  320560.2 | Dist   2773m ( 89.5%) | Buf  74.4% | Total  371953 | End: off_track
Ep ep_000587.20 | Time 1:35.53 | Steps  4581 | Reward  224155.0 | Avg(10)  307926.9 | Dist   1979m ( 63.8%) | Buf  75.3% | Total  376534 | End: off_track
Ep ep_000588.20 | Time 1:13.07 | Steps  3560 | Reward  172981.3 | Avg(10)  285514.2 | Dist   1261m ( 40.7%) | Buf  76.0% | Total  380094 | End: off_track
Ep ep_000589.20 | Time 1:07.31 | Steps  3298 | Reward  160076.6 | Avg(10)  261613.3 | Dist   1300m ( 41.9%) | Buf  76.7% | Total  383392 | End: off_track
Ep ep_000590.20 | Time 1:37.29 | Steps  4661 | Reward  227819.5 | Avg(10)  267162.6 | Dist   1975m ( 63.7%) | Buf  77.6% | Total  388053 | End: off_track
Ep ep_000591.20 | Time 1:38.28 | Steps  4706 | Reward  230226.8 | Avg(10)  276665.0 | Dist   1966m ( 63.4%) | Buf  78.6% | Total  392759 | End: off_track
Ep ep_000592.20 | Time 1:40.24 | Steps  4795 | Reward  232917.1 | Avg(10)  259828.1 | Dist   1977m ( 63.8%) | Buf  79.5% | Total  397554 | End: off_track
Ep ep_000593.20 | Time 1:42.57 | Steps  4901 | Reward  238033.4 | Avg(10)  248773.5 | Dist   1969m ( 63.5%) | Buf  80.5% | Total  402455 | End: off_track
Ep ep_000594.20 | Time 2:06.22 | Steps  5976 | Reward  271245.0 | Avg(10)  241906.5 | Dist   1970m ( 63.5%) | Buf  81.7% | Total  408431 | End: off_track
Ep ep_000595.20 | Time 2:17.21 | Steps  6517 | Reward  267370.2 | Avg(10)  234938.4 | Dist   1976m ( 63.8%) | Buf  83.0% | Total  414948 | End: off_track
Ep ep_000596.20 | Time 1:52.65 | Steps  5359 | Reward  236516.2 | Avg(10)  226134.1 | Dist   1980m ( 63.9%) | Buf  84.1% | Total  420307 | End: off_track
Ep ep_000597.20 | Time 1:42.31 | Steps  4889 | Reward  238729.9 | Avg(10)  227591.6 | Dist   1981m ( 63.9%) | Buf  85.0% | Total  425196 | End: off_track
Ep ep_000598.20 | Time 1:38.77 | Steps  4728 | Reward  231543.1 | Avg(10)  233447.8 | Dist   1973m ( 63.7%) | Buf  86.0% | Total  429924 | End: off_track
Ep ep_000599.20 | Time 1:38.68 | Steps  4724 | Reward  231232.0 | Avg(10)  240563.3 | Dist   1973m ( 63.6%) | Buf  86.9% | Total  434648 | End: off_track
Ep ep_000600.20 | Time 1:41.36 | Steps  4846 | Reward  237234.8 | Avg(10)  241504.9 | Dist   1971m ( 63.6%) | Buf  87.9% | Total  439494 | End: off_track
Ep ep_000601.20 | Time 1:42.99 | Steps  4920 | Reward  240950.7 | Avg(10)  242577.2 | Dist   1970m ( 63.6%) | Buf  88.9% | Total  444414 | End: off_track
Ep ep_000602.20 | Time 1:43.50 | Steps  4943 | Reward  242204.9 | Avg(10)  243506.0 | Dist   1973m ( 63.6%) | Buf  89.9% | Total  449357 | End: off_track
Ep ep_000603.20 | Time 1:45.32 | Steps  5026 | Reward  246194.4 | Avg(10)  244322.1 | Dist   1974m ( 63.7%) | Buf  90.9% | Total  454383 | End: off_track
Ep ep_000604.20 | Time 1:45.79 | Steps  5047 | Reward  247805.2 | Avg(10)  241978.1 | Dist   1980m ( 63.9%) | Buf  91.9% | Total  459430 | End: off_track
Ep ep_000605.20 | Time 1:44.25 | Steps  4977 | Reward  244071.4 | Avg(10)  239648.3 | Dist   1973m ( 63.6%) | Buf  92.9% | Total  464407 | End: off_track
Ep ep_000606.20 | Time 1:42.75 | Steps  4909 | Reward  240854.6 | Avg(10)  240082.1 | Dist   1973m ( 63.6%) | Buf  93.9% | Total  469316 | End: off_track
Ep ep_000607.20 | Time 0:02.62 | Steps   176 | Reward    2182.0 | Avg(10)  216427.3 | Dist     10m (  0.3%) | Buf  93.9% | Total  469492 | End: too_slow
Ep ep_000608.20 | Time 1:47.24 | Steps  5113 | Reward  248334.9 | Avg(10)  218106.5 | Dist   1977m ( 63.8%) | Buf  94.9% | Total  474605 | End: off_track
