t,dfs,v,steer,angle,width,trackPos,ontrack
5.042,67.2314,22,0.000166753,-0.00104392,12,0.00100533,1
5.064,67.7148,21.9511,-0.0104177,-0.00139101,12,0.00114234,1
5.086,68.1989,22.0974,-0.026207,-0.00120571,12,0.00124661,1
5.108,68.687,22.2041,-0.0440112,-0.000331268,12,0.00126592,1
5.13,69.1749,22.1528,-0.0282506,0.00141096,12,0.00112947,1
5.152,69.6616,22.1033,-0.0137623,0.00336233,12.0001,0.00084432,1
5.174,70.1473,22.0542,-0.00134568,0.00484771,12.0001,0.000470082,1
5.196,70.6319,22.0052,0.0120477,0.00566351,12.0002,6.69161e-05,1
5.218,71.1154,21.9563,0.0140853,0.00574055,12.0002,-0.000324726,1
5.24,71.5996,22.1019,0.0162343,0.0052821,12.0002,-0.000676632,1
5.262,72.0878,22.209,0.0196322,0.00456429,12.0001,-0.00099659,1
5.284,72.5758,22.1581,0.0186323,0.00372811,12.0001,-0.0012513,1
5.306,73.0626,22.1086,0.00734747,0.00271639,12,-0.00143321,1
5.328,73.5484,22.0594,0.00230057,0.00184406,12,-0.00157269,1
5.35,74.0331,22.0104,0.0139388,0.00131646,12,-0.00169921,1
5.372,74.5167,21.9614,0.0048672,0.000687554,12,-0.00177805,1
5.394,75.0012,22.1104,-0.00707905,8.25077e-05,12,-0.00181286,1
5.416,75.4895,22.2192,-0.0185079,-4.18425e-05,12,-0.00184989,1
5.438,75.9777,22.1682,-0.015316,0.000549644,12,-0.00193659,1
5.46,76.4648,22.1187,-0.00400396,0.00146042,12,-0.00208441,1
5.482,76.9509,22.0694,0.0037905,0.00216903,12,-0.00226307,1
5.504,77.4358,22.0203,0.00943272,0.00245163,12,-0.002436,1
5.526,77.9197,21.9713,0.0167909,0.00234571,12,-0.00258597,1
5.548,78.4043,22.1172,0.00874724,0.0017924,12,-0.0026869,1
5.57,78.8928,22.2242,0.00519182,0.00113934,12,-0.00275437,1
5.592,79.3812,22.1733,0.00358086,0.000770569,12,-0.00279903,1
5.614,79.8683,22.1238,-0.00786223,0.000562161,12,-0.00282907,1
5.636,80.3545,22.0744,-0.00807005,0.000702664,12,-0.00287779,1
5.658,80.8395,22.0253,-0.00809061,0.00114755,12,-0.00296553,1
5.68,81.3235,21.9763,-0.0136184,0.00169522,12,-0.00309467,1
5.702,81.8083,22.1211,-0.00100836,0.00240132,12,-0.00327365,1
5.724,82.2968,22.2277,0.00154754,0.0029657,12.0001,-0.00347988,1
5.746,82.7853,22.1768,0.000424795,0.00320727,12.0001,-0.00369684,1
5.768,83.2726,22.1272,-0.00531233,0.00333661,12.0001,-0.00392644,1
5.79,83.7588,22.0779,-0.00912603,0.00357872,12.0001,-0.00418131,1
5.812,84.2439,22.0287,-0.004684,0.00403573,12.0001,-0.00448132,1
5.834,84.728,21.9797,0.00742805,0.00453101,12.0001,-0.00481939,1
5.856,85.2128,22.1248,0.0170083,0.00464591,12.0001,-0.00515731,1
5.878,85.7013,22.2312,0.0139107,0.00422297,12.0001,-0.0054481,1
5.9,86.1898,22.1802,0.00914238,0.00360218,12.0001,-0.00569137,1
5.922,86.6772,22.1306,0.0145099,0.00305796,12.0001,-0.00590102,1
5.944,87.1634,22.0812,0.0123719,0.00246641,12,-0.00606545,1
5.966,87.6487,22.032,0.0163128,0.00183155,12,-0.00618219,1
5.988,88.1328,21.9829,0.00968376,0.00112799,12,-0.00624657,1
6.01,88.6177,22.1296,-0.00288473,0.000439465,12,-0.00626429,1
6.032,89.1065,22.237,-0.0155466,0.000125185,12,-0.00628336,1
6.054,89.5951,22.1859,-0.0127746,0.000523731,12,-0.0063467,1
6.076,90.0826,22.1363,-0.0190782,0.00127769,12,-0.00646742,1
6.098,90.569,22.0869,-0.0154944,0.00225738,12,-0.00665498,1
6.12,91.0543,22.0376,-0.00963103,0.00331932,12.0001,-0.006917,1
6.142,91.5386,21.9886,-0.00855441,0.00422913,12.0001,-0.00723465,1
6.164,92.0235,22.133,0.0113238,0.00496323,12.0001,-0.00759427,1
6.186,92.5123,22.2392,0.0163558,0.00518224,12.0002,-0.00795492,1
6.208,93.0009,22.1882,0.0165256,0.00481284,12.0001,-0.0082763,1
6.23,93.4884,22.1385,0.0131508,0.00413741,12.0001,-0.00854516,1
6.252,93.9749,22.0891,0.00582727,0.00342761,12.0001,-0.00877674,1
6.274,94.4603,22.0398,0.0154205,0.0029294,12.0001,-0.00898027,1
6.296,94.9446,21.9907,0.0249013,0.00238839,12,-0.00914359,1
6.318,95.4297,22.137,0.0217586,0.00139223,12,-0.0092291,1
6.34,95.9186,22.2442,0.00836387,0.000131845,12,-0.00922998,1
6.362,96.4073,22.1932,0.0028874,-0.00077489,12,-0.0091691,1
6.384,96.895,22.1436,0.00196446,-0.00134812,12,-0.00908494,1
6.406,97.3816,22.0941,0.017352,-0.00171472,11.9994,-0.00898051,1
6.428,97.8671,22.0447,0.0206916,-0.00235973,11.9946,-0.00881934,1
6.45,98.3515,21.9955,0.0276175,-0.00343154,11.9828,-0.00856074,1
6.472,98.8366,22.1448,0.0196126,-0.00487264,11.9636,-0.00818316,1
6.494,99.3257,22.2539,0.00451673,-0.00632612,11.9423,-0.0077153,1
6.516,99.8147,22.2028,-0.00779209,-0.00720477,11.927,-0.00717886,1
6.538,100.303,22.153,-0.0024445,-0.0074676,11.9184,-0.00663129,1
6.56,100.789,22.1036,0.00718157,-0.00746803,11.9125,-0.00608842,1
6.582,101.275,22.0542,-0.0019793,-0.00768989,11.9041,-0.0055112,1
