Ep ep_000361.17 | Time 0:16.78 | Steps   856 | Reward   38553.6 | Avg(10)  157404.8 | Dist     34m (  1.0%) | Buf  45.0% | Total  224948 | End: off_track
Ep ep_000362.17 | Time 0:41.65 | Steps  2030 | Reward   97276.1 | Avg(10)  143837.3 | Dist    685m ( 21.4%) | Buf  45.4% | Total  226978 | End: off_track
Ep ep_000363.17 | Time 0:16.47 | Steps   842 | Reward   37896.0 | Avg(10)  128334.7 | Dist     28m (  0.9%) | Buf  45.6% | Total  227820 | End: off_track
Ep ep_000364.17 | Time 0:16.50 | Steps   843 | Reward   37958.2 | Avg(10)  115255.0 | Dist     32m (  1.0%) | Buf  45.7% | Total  228663 | End: off_track
Ep ep_000365.17 | Time 0:16.03 | Steps   822 | Reward   36814.4 | Avg(10)  111335.8 | Dist     30m (  0.9%) | Buf  45.9% | Total  229485 | End: off_track
Ep ep_000366.17 | Time 0:16.74 | Steps   854 | Reward   38486.6 | Avg(10)   97863.3 | Dist     29m (  0.9%) | Buf  46.1% | Total  230339 | End: off_track
Ep ep_000367.17 | Time 2:07.26 | Steps  6023 | Reward  237533.9 | Avg(10)  104435.8 | Dist   2086m ( 65.2%) | Buf  47.3% | Total  236362 | End: too_slow
Ep ep_000368.17 | Time 0:19.55 | Steps   982 | Reward   44881.2 | Avg(10)   84026.2 | Dist     98m (  3.1%) | Buf  47.5% | Total  237344 | End: off_track
Ep ep_000369.17 | Time 0:15.79 | Steps   810 | Reward   36266.9 | Avg(10)   64208.2 | Dist     29m (  0.9%) | Buf  47.6% | Total  238154 | End: off_track
Ep ep_000370.17 | Time 0:19.51 | Steps   980 | Reward   44779.9 | Avg(10)   65044.7 | Dist    101m (  3.1%) | Buf  47.8% | Total  239134 | End: off_track
Ep ep_000371.17 | Time 0:15.65 | Steps   803 | Reward   35930.2 | Avg(10)   64782.3 | Dist     27m (  0.8%) | Buf  48.0% | Total  239937 | End: off_track
Ep ep_000372.17 | Time 0:19.97 | Steps  1001 | Reward   45820.6 | Avg(10)   59636.8 | Dist    100m (  3.1%) | Buf  48.2% | Total  240938 | End: off_track
Ep ep_000373.17 | Time 0:16.61 | Steps   848 | Reward   38119.3 | Avg(10)   59659.1 | Dist     31m (  1.0%) | Buf  48.4% | Total  241786 | End: off_track
Ep ep_000374.17 | Time 0:19.60 | Steps   984 | Reward   44935.5 | Avg(10)   60356.8 | Dist    102m (  3.2%) | Buf  48.6% | Total  242770 | End: off_track
