Ep ep_000677.23 | Time 0:03.11 | Steps   198 | Reward    6422.3 | Avg(10)    9831.2 | Dist     10m (  0.3%) | Buf   0.6% | Total    2978 | End: off_track
Ep ep_000678.23 | Time 0:06.12 | Steps   335 | Reward   14816.8 | Avg(10)   10530.7 | Dist     10m (  0.3%) | Buf   0.7% | Total    3313 | End: off_track
Ep ep_000679.23 | Time 0:03.30 | Steps   207 | Reward    7102.1 | Avg(10)   10576.4 | Dist     10m (  0.3%) | Buf   0.7% | Total    3520 | End: off_track
Ep ep_000680.23 | Time 0:06.16 | Steps   337 | Reward   14876.0 | Avg(10)   11316.3 | Dist     10m (  0.3%) | Buf   0.8% | Total    3857 | End: off_track
Ep ep_000681.23 | Time 0:03.68 | Steps   224 | Reward    8174.3 | Avg(10)   11039.5 | Dist     10m (  0.3%) | Buf   0.8% | Total    4081 | End: off_track
Ep ep_000682.23 | Time 0:03.11 | Steps   198 | Reward    6655.5 | Avg(10)   10911.1 | Dist     10m (  0.3%) | Buf   0.9% | Total    4279 | End: off_track
Ep ep_000683.23 | Time 0:03.19 | Steps   202 | Reward    6845.5 | Avg(10)   10804.8 | Dist     10m (  0.3%) | Buf   0.9% | Total    4481 | End: off_track
Ep ep_000684.23 | Time 0:04.98 | Steps   283 | Reward   11744.5 | Avg(10)   10823.9 | Dist     10m (  0.3%) | Buf   1.0% | Total    4764 | End: off_track
Ep ep_000685.23 | Time 0:25.58 | Steps  1256 | Reward   66845.1 | Avg(10)   15298.1 | Dist    240m (  7.5%) | Buf   1.2% | Total    6020 | End: backwards
Ep ep_000686.23 | Time 0:14.77 | Steps   759 | Reward   40556.7 | Avg(10)   18403.9 | Dist     10m (  0.3%) | Buf   1.4% | Total    6779 | End: off_track
Ep ep_000687.23 | Time 0:03.59 | Steps   220 | Reward    8441.2 | Avg(10)   18605.8 | Dist     10m (  0.3%) | Buf   1.4% | Total    6999 | End: off_track
Ep ep_000688.23 | Time 0:03.22 | Steps   203 | Reward    7404.0 | Avg(10)   17864.5 | Dist     10m (  0.3%) | Buf   1.4% | Total    7202 | End: off_track
Ep ep_000689.23 | Time 0:03.48 | Steps   215 | Reward    8124.7 | Avg(10)   17966.7 | Dist     10m (  0.3%) | Buf   1.5% | Total    7417 | End: off_track
Ep ep_000690.23 | Time 0:03.52 | Steps   217 | Reward    8231.3 | Avg(10)   17302.3 | Dist     10m (  0.3%) | Buf   1.5% | Total    7634 | End: off_track
Ep ep_000691.23 | Time 0:03.63 | Steps   222 | Reward    8426.1 | Avg(10)   17327.5 | Dist     10m (  0.3%) | Buf   1.6% | Total    7856 | End: off_track
Ep ep_000692.23 | Time 0:03.90 | Steps   234 | Reward    9105.6 | Avg(10)   17572.5 | Dist     10m (  0.3%) | Buf   1.6% | Total    8090 | End: off_track
Ep ep_000693.23 | Time 0:04.03 | Steps   240 | Reward    9380.1 | Avg(10)   17825.9 | Dist     10m (  0.3%) | Buf   1.7% | Total    8330 | End: off_track
Ep ep_000694.23 | Time 0:03.85 | Steps   232 | Reward    8899.0 | Avg(10)   17541.4 | Dist     10m (  0.3%) | Buf   1.7% | Total    8562 | End: off_track
Ep ep_000695.23 | Time 0:04.47 | Steps   260 | Reward   10516.7 | Avg(10)   11908.5 | Dist     10m (  0.3%) | Buf   1.8% | Total    8822 | End: off_track
Ep ep_000696.23 | Time 0:04.43 | Steps   258 | Reward   10580.2 | Avg(10)    8910.9 | Dist     10m (  0.3%) | Buf   1.8% | Total    9080 | End: off_track
Ep ep_000697.23 | Time 0:04.38 | Steps   256 | Reward   10578.1 | Avg(10)    9124.6 | Dist     10m (  0.3%) | Buf   1.9% | Total    9336 | End: off_track
Ep ep_000698.23 | Time 0:11.15 | Steps   578 | Reward   29938.4 | Avg(10)   11378.0 | Dist     10m (  0.3%) | Buf   2.0% | Total    9914 | End: off_track
Ep ep_000699.23 | Time 0:04.23 | Steps   249 | Reward   10157.2 | Avg(10)   11581.3 | Dist     10m (  0.3%) | Buf   2.0% | Total   10163 | End: off_track
Ep ep_000700.23 | Time 0:04.10 | Steps   243 | Reward    9769.9 | Avg(10)   11735.1 | Dist     10m (  0.3%) | Buf   2.1% | Total   10406 | End: off_track
Ep ep_000701.23 | Time 0:03.92 | Steps   235 | Reward    9266.7 | Avg(10)   11819.2 | Dist     10m (  0.3%) | Buf   2.1% | Total   10641 | End: off_track
Ep ep_000702.23 | Time 0:05.79 | Steps   320 | Reward   14292.7 | Avg(10)   12337.9 | Dist     10m (  0.3%) | Buf   2.2% | Total   10961 | End: off_track
